State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total charge
16.0,128,415,0.0,1.0,25,265.1,110,197.4,99,244.7,91,10.0,3,1,75.56
35.0,107,415,0.0,1.0,26,161.6,123,195.5,103,254.4,103,13.7,3,1,59.24000000000001
31.0,137,415,0.0,0.0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,62.290000000000006
35.0,84,408,1.0,0.0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,66.8
36.0,75,415,1.0,0.0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,52.089999999999996
1.0,118,510,1.0,0.0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,67.61
19.0,121,510,0.0,1.0,24,218.2,88,348.5,108,212.6,118,7.5,7,3,78.31
24.0,147,415,1.0,0.0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,46.900000000000006
49.0,141,415,1.0,1.0,37,258.6,84,222.0,111,326.4,97,11.2,5,0,80.53999999999999
39.0,74,415,0.0,0.0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,57.08
12.0,168,408,0.0,0.0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,40.190000000000005
26.0,95,510,0.0,0.0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,59.64
12.0,62,415,0.0,0.0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,59.309999999999995
13.0,85,408,0.0,1.0,27,196.4,139,280.9,90,89.3,75,13.8,4,1,65.02
46.0,93,510,0.0,0.0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,58.989999999999995
45.0,76,510,0.0,1.0,33,189.7,66,212.8,65,165.7,108,10.0,5,1,60.50000000000001
43.0,73,415,0.0,0.0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,63.9
9.0,147,415,0.0,0.0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,59.0
5.0,77,408,0.0,0.0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,36.019999999999996
3.0,130,415,0.0,0.0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,48.06
45.0,132,510,0.0,0.0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,48.08
29.0,174,415,0.0,0.0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,60.15
50.0,57,408,0.0,1.0,39,213.0,115,191.1,112,182.7,115,9.5,3,0,63.24
26.0,54,408,0.0,0.0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,44.61
24.0,20,415,0.0,0.0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,64.12
14.0,142,415,0.0,0.0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,41.14
30.0,75,510,0.0,0.0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,69.42999999999999
18.0,172,408,0.0,0.0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,55.29
3.0,12,408,0.0,0.0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,79.67999999999999
36.0,57,408,0.0,1.0,25,176.8,94,195.0,75,213.5,116,8.3,4,0,58.49
10.0,72,415,0.0,1.0,37,220.0,80,217.3,102,152.8,71,14.7,6,3,66.72
19.0,78,415,0.0,0.0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,54.2
0.0,136,415,1.0,1.0,33,203.9,106,187.6,99,101.7,107,10.5,6,3,58.03
31.0,149,408,0.0,0.0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,58.44
10.0,98,408,0.0,0.0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,46.63999999999999
